283,67,393,62,394,76,283,81
80,111,102,110,172,106,234,105,282,103,341,101,363,100,363,112,342,113,282,115,234,117,173,118,102,122,80,123
59,129,81,128,151,125,219,123,290,120,358,119,380,119,380,131,358,132,290,133,219,136,151,137,82,141,60,141
74,145,96,144,146,142,210,141,279,139,339,138,361,138,361,150,339,151,280,151,210,153,146,154,97,157,75,158
49,166,58,166,75,166,83,165,97,164,110,165,124,165,124,175,110,175,97,174,84,175,75,176,59,176,49,176
69,179,394,173,395,189,69,195
50,202,66,201,93,200,118,200,144,198,182,198,198,197,198,207,182,208,144,208,118,210,93,211,66,212,50,212
89,218,110,217,163,215,222,214,281,212,341,211,363,210,363,222,342,223,281,224,222,226,164,227,111,229,89,230
86,235,108,235,150,235,220,233,271,231,335,231,357,231,357,243,335,243,271,243,220,245,150,247,108,247,86,247
75,255,97,254,161,252,220,251,275,249,348,249,369,249,370,262,348,262,275,261,220,263,161,264,97,266,75,267
56,272,77,272,119,271,165,272,224,270,265,268,287,266,287,279,266,280,224,282,165,284,120,284,78,285,56,285
101,290,126,289,177,288,235,287,280,287,338,284,362,283,363,297,338,297,280,301,236,300,178,301,126,303,101,304
52,309,397,303,397,318,53,323
50,329,61,328,76,328,84,328,95,328,112,328,119,329,119,340,112,340,95,339,84,339,76,340,61,340,50,341
68,346,89,345,132,346,163,343,201,344,235,342,254,341,254,354,235,355,201,356,164,356,132,358,89,358,67,359
72,365,94,364,143,362,166,363,205,360,240,362,262,362,262,374,241,374,205,372,166,375,143,375,94,377,73,377
71,381,245,379,245,393,72,395
69,402,88,401,120,400,162,399,191,399,225,400,243,401,244,411,225,411,191,410,162,410,121,410,88,412,69,413
72,420,94,419,141,418,170,417,207,417,248,416,270,415,270,427,248,428,208,429,170,430,141,430,94,431,73,432
106,436,128,436,169,438,216,434,278,434,341,431,363,430,363,443,342,444,279,447,217,447,169,450,128,449,107,449
120,482,151,481,193,477,219,478,273,474,303,474,334,473,335,490,304,492,274,492,220,496,193,495,151,499,120,500
70,510,92,509,155,508,219,506,300,506,355,505,377,505,377,517,356,517,300,518,219,518,155,520,92,521,70,522
79,528,98,528,151,529,214,526,283,525,338,524,356,523,357,534,338,534,284,536,214,536,151,539,98,538,79,538
76,549,94,548,157,547,222,544,281,543,344,541,363,541,363,552,344,552,281,554,222,555,157,558,94,559,76,560
76,565,98,564,153,564,245,561,296,559,353,558,375,558,375,570,353,571,296,572,246,573,154,576,98,577,76,577
77,583,99,583,132,581,184,581,234,580,277,578,299,577,299,590,277,591,234,592,184,594,132,594,99,595,78,596
97,603,118,602,166,599,225,597,286,596,351,596,373,596,374,608,352,608,286,609,226,609,166,612,118,614,97,616
76,619,94,618,158,618,224,616,286,616,340,613,359,613,359,624,340,624,286,627,224,627,159,629,94,629,76,630
81,637,99,637,164,636,218,635,281,633,343,631,361,631,361,642,343,642,281,644,218,646,164,647,99,648,81,648
81,656,103,655,155,655,244,650,285,650,357,648,378,648,378,660,357,660,285,663,244,662,155,667,103,668,81,669
86,673,108,672,165,671,213,669,301,666,339,666,361,666,361,679,339,679,301,679,213,682,165,684,108,685,86,686
