428,72,537,72,537,90,428,90
61,117,540,114,540,135,61,138
63,141,538,139,538,161,63,163
61,167,538,161,539,183,61,189
63,191,538,186,539,208,63,213
61,214,538,212,538,233,61,236
64,238,538,236,538,258,64,261
63,264,540,259,540,280,63,285
63,287,393,285,394,307,63,309
84,311,543,309,543,332,84,334
63,336,540,333,540,355,63,357
64,359,541,357,541,380,64,382
63,383,540,383,540,404,63,404
64,407,541,407,541,428,64,428
64,431,538,431,538,451,64,451
64,456,541,453,541,475,64,478
64,480,541,477,541,499,64,503
64,504,395,502,395,525,64,526
85,529,543,525,543,547,86,551
66,553,543,550,543,572,66,575
66,578,543,573,543,596,66,600
66,600,544,600,544,623,66,623
66,627,451,622,451,643,66,647
87,650,544,647,544,668,87,671
66,674,541,671,541,690,66,692
64,692,538,689,538,701,64,705
61,703,537,703,537,721,61,721
61,722,258,722,258,742,61,742
78,745,534,745,534,763,78,763
60,764,537,769,537,790,60,786
60,788,526,791,526,814,60,810
81,811,537,815,537,837,81,833
60,834,535,838,535,860,60,856
60,860,535,861,535,883,60,881
58,884,119,884,119,904,58,904
